entry_id	record_type	figure	panel	status	source_path	sha256	generator_path	replication_unit	notes
fig2.path_gain_dispersion	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/path_gain_dispersion_ladder_runs.csv	fecb52eb239fd9584899ea4c280eac1f6ec07716d09cadfe1eed88120b135d14	drafts/dendritic-local-learning/journal/scripts/analyze_fig2_path_gain_dispersion.py	paired independent training seed (n=15 per architecture)	Source identity retained; previous display association figS45/d-e. Mean pre-reactivation voltage-error magnitude by dendritic depth and path-specific exact-error energy at the MNIST exact-path checkpoints.
prospective.learning.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S19_panels_A-I.pdf	7d1983b490bf1df0d0993661d8e6c7b1b0547a03943263874b6417d6c88841e3	drafts/dendritic-local-learning/journal/scripts/build_supplementary_figures_s17_s20_native.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Integrated input-valid prospective display: identity, ownership and completed K=2 subtree-address results.
prospective.learning.seeds	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/central_valid_seed_outcomes.csv	14d486f0214dc66a7a411fb59d7e39103c471ffad69f41a126394a8aa85ecee5	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Run-level held-out outcomes for all 480 input-valid primary runs.
prospective.learning.conditions	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/central_valid_condition_summary.csv	6cec074da04134eb245087e30871cfe44c9b6da4b41a53d67971939348cb591e	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Input-valid condition means and paired-seed bootstrap intervals plotted in the figure.
prospective.learning.contrasts	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/central_valid_paired_contrasts.csv	97daf3dd204e444401d6335eae54ac57d905135111bae0c84f66a6a8868e332e	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Input-valid neuron-identity and exact-transport contrasts.
prospective.clean_exact_bp.runs	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/clean_exact_bp/run_outcomes.csv	a50a63fd1ce4f403c2669d7001a8d4d161d1362c24f2aacd5dc74ab189d2e76f	drafts/dendritic-local-learning/journal/scripts/collect_clean_exact_bp_rerun.py	paired independent training seed (n=10 per task-core-depth condition)	Source identity retained; previous display association figS19/text. All 320 accepted clean-source exact-transport and backpropagation runs with artifact and checkpoint audit fields.
prospective.clean_exact_bp.pairs	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/clean_exact_bp/paired_differences.csv	3177ff0bf6e40d7856209c7f61b3250bc2191ba30db995a5b52ff5e6471aeeeb	drafts/dendritic-local-learning/journal/scripts/collect_clean_exact_bp_rerun.py	paired independent training seed (n=10 per task-core-depth condition)	Source identity retained; previous display association figS19/text. All 160 seed-, task-, core- and depth-matched exact-minus-backpropagation differences.
prospective.clean_exact_bp.conditions	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/clean_exact_bp/condition_summary.csv	10c4b4f38e3ac6594bee7297e3516354ba5201b846d07a6816ff97ee4844ef41	drafts/dendritic-local-learning/journal/scripts/collect_clean_exact_bp_rerun.py	independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Accuracy summaries for both methods, tasks, cores and four depths.
prospective.clean_exact_bp.contrasts	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/clean_exact_bp/exact_bp_contrasts.csv	ad8f6c4f41864fe6bc337c9bf25a4d70ec3a8d183b7a7b05f14a9db9f28abfbe	drafts/dendritic-local-learning/journal/scripts/collect_clean_exact_bp_rerun.py	paired independent training seed (n=10 per task-core contrast)	Source identity retained; previous display association figS19/text. Depth-specific and within-seed depth-averaged exact-transport-minus-backpropagation contrasts.
prospective.clean_exact_bp.summary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/clean_exact_bp/summary.json	04898c0d623cff3b685a52b60d3c2e73e7ed374d331cfc7f41d10141740f2aad	drafts/dendritic-local-learning/journal/scripts/collect_clean_exact_bp_rerun.py	complete 320-run audit	Source identity retained; previous display association figS19/text. Detached source commits, completeness gates, accepted evaluation paths and numerical difference bounds.
prospective.mechanism.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S09_panels_A-D.pdf	3cca7fab86d97ea582f77afee3bce7e1f6edd4f87a44daa4c1fbca8285aa34c3	drafts/dendritic-local-learning/journal/scripts/build_supplementary_figure_s09_native.py	independent input-valid trained checkpoint (n=120)	Source identity retained; previous display association figS9/all. Validity-qualified prospective fixed-checkpoint credit-to-loss diagnostic.
prospective.mechanism.rows	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/mechanism_checkpoint_rows_valid.csv	10fb629c9eb0a946b700a0b699139e006aefd2dff389ab06ba4cd6bc01ce8e77	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	independent input-valid trained checkpoint (n=120)	Source identity retained; previous display association figS9/a-d. All 2,400 input-valid checkpoint-by-field-by-step rows; only non-somatic dendritic stages enter the geometry.
prospective.mechanism.association	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/mechanism_association_summary_valid.csv	670380a03087bea86633b582514ed89ceab7d778e814ae51e268fe62d6023547	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	independent input-valid trained checkpoint (n=120)	Source identity retained; previous display association figS9/d. Spearman associations with checkpoint-clustered bootstrap intervals at all four relative steps.
prospective.mechanism.feedback	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/mechanism_feedback_summary_valid.csv	a041b4d9fcc0cb7bbb1aa78e7159b6de2073ddc9a833722cdb6b2aad54c97345	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	independent input-valid trained checkpoint (n=120)	Source identity retained; previous display association figS9/a-c. Primary-step input-valid feedback-family means and descent counts.
fig3.e	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure3/typed_only_compression_curves.csv	2dfbc13b8917ce3b1780e839a1d2c8705fa73fd04d57ec1f894a820584b86f5b	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	biological cell (n=8)	Source identity retained; previous display association figS20/h. Direct-presynaptic-type-only sensitivity analysis shown in Supplementary Fig. 20H.
fig4.d.primary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/summary.json	293365e2de054f895eb6260f324f1c493091c8b32e6ce63f78098222507462c4	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	biological cell (n=8)	Source identity retained; previous display association figS21/f. Primary conductance-scale and reversal-potential summary.
fig4.d.scale01	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/scale0p1_summary.json	363f0ff944d146624bafea13a702c039ebb164233ee08bf91a385497bfbb255f	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	biological cell (n=8)	Source identity retained; previous display association figS21/f. Conductance-scale sensitivity.
fig4.d.scale10	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/scale1p0_summary.json	b7960427ad6318f35e4f56b26f284e04681053092378e813ef603b2e385a3f01	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	biological cell (n=8)	Source identity retained; previous display association figS21/f. Conductance-scale sensitivity.
fig4.d.irevm05	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/irevm0p5_summary.json	b9ab0438d26908b7f2c2c58bc3da6ba392c7e00257c1207e62dbed30472cc262	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	biological cell (n=8)	Source identity retained; previous display association figS21/f. Inhibitory-reversal-potential sensitivity.
fig4.d.irev0	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/irev0_summary.json	fa780ea41a4f9de6d89099916cfc2ae2d59cbc02720308c0ff4e55818f4a61a1	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	biological cell (n=8)	Source identity retained; previous display association figS21/f. Inhibitory-reversal-potential sensitivity.
fig6.b-d	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_target_method_means_ch4.csv	09c7bc76ab5e7b6a2da69652232f260b871c326506fcd77cca7a5f014b3c0c00	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	target cell with ten fixed stimulus splits averaged within target (n=7)	Source identity retained; previous display association figS22/d-f. Four-channel held-out capture, learning, target contrasts, and within-target relation.
fig6.e.ch1.targets	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_target_method_means_ch1.csv	fbe4c7946044758d4da429f288fac428f6ef163317949b2ee74d26f2efe3902d	drafts/dendritic-local-learning/journal/code/task_derived/run_task_derived_credit_learning.py	target cell with ten fixed stimulus splits averaged within target (n=7)	Source identity retained; previous display association figS22/h. Independent-target values for the one-channel morphology-minus-shuffle sensitivity contrast.
fig6.e.ch2.targets	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_target_method_means_ch2.csv	3b75ab4d9fb539b7d986a0d39e1560a6163001a57ba88fb8f756e21821fb4a17	drafts/dendritic-local-learning/journal/code/task_derived/run_task_derived_credit_learning.py	target cell with ten fixed stimulus splits averaged within target (n=7)	Source identity retained; previous display association figS22/h. Independent-target values for the two-channel morphology-minus-shuffle sensitivity contrast.
fig6.e.ch8.targets	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_target_method_means_ch8.csv	3617d30ea4a4943fcff787f502c9cfca2eaaa45b16a2526cb33141563938186e	drafts/dendritic-local-learning/journal/code/task_derived/run_task_derived_credit_learning.py	target cell with ten fixed stimulus splits averaged within target (n=7)	Source identity retained; previous display association figS22/h. Independent-target values for the eight-channel morphology-minus-shuffle sensitivity contrast.
fig6.e.ch1	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_summary_ch1.json	a4a923764d80756c903ca778a22fa17afa48b7b75521b7b51aa4ebbdf51dc57b	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	target cell (n=7)	Source identity retained; previous display association figS22/h. One-channel sensitivity summary.
fig6.e.ch2	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_summary_ch2.json	7b8aead9e63ac8eb9df3164c59043fd53423eb92147bf98fc40e3c77318b00cd	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	target cell (n=7)	Source identity retained; previous display association figS22/h. Two-channel sensitivity summary.
fig6.e.ch4	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_summary_ch4.json	ef0ac688f7deae057f0ffbd566328267afb6d8929d0fcd2e72862870ae42769c	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	target cell (n=7)	Source identity retained; previous display association figS22/text. Four-channel primary summary, including the target-stratified within-target association test.
fig6.e.ch8	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure5/task_summary_ch8.json	c1286859153bbdc5be82dc63c1fee84c38b6eba9c0226face6dcfdaffb2605b3	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	target cell (n=7)	Source identity retained; previous display association figS22/h. Eight-channel sensitivity summary.
fig7.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S05_panels_A-H.pdf	c2c79a27e0cfa2a40cdaea956db33e0abe1060efe7e73e31f98ea35795a6572a	drafts/dendritic-local-learning/journal/scripts/run_alignment_controlled_learning.py	reconstructed cell (n=8)	Source identity retained; previous display association figS5/all. Final alignment-controlled sufficiency figure with embedded TrueType fonts.
fig7.b-c	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/alignment_controlled/alignment_controlled_curves.csv	225e2b6da2a15b9b9a1f6795d2b6388c10aa4bd58810a1ce499115b3261cc33b	drafts/dendritic-local-learning/journal/scripts/run_alignment_controlled_learning.py	reconstructed cell with Monte Carlo streams nested within cell (n=8)	Source identity retained; previous display association figS5/c-f. Cell-level capture, one-step and iterative progress curves, including morphology advantage.
fig7.d	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/alignment_controlled/cell_alignment_metrics.csv	06313b5b2dda421cbff871f1d7a8bfc53b036fbd314f3cb53501a5fcc842de0c	drafts/dendritic-local-learning/journal/scripts/run_alignment_controlled_learning.py	reconstructed cell (n=8)	Source identity retained; previous display association figS5/f-h. Cell-level capture, one-step, and 20-step progress relations.
fig7.contrasts	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/alignment_controlled/cell_paired_contrasts.csv	b516333ab5ce38edcadf4e67cc7b53eb65e7d585ffce95cdfb0db3ce5eeea7e3	drafts/dendritic-local-learning/journal/scripts/run_alignment_controlled_learning.py	reconstructed cell (n=8)	Source identity retained; previous display association figS5/f. Paired morphology-minus-control contrasts.
fig7.dictionary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/alignment_controlled/dictionary_audit.csv	991ef59d560972a09c6052a45f76f4de45fa14eae7f885fe12efe08bf705aeca	drafts/dendritic-local-learning/journal/scripts/run_alignment_controlled_learning.py	reconstructed cell with streams nested within cell	Source identity retained; previous display association figS5/a-h. Effective rank, nonzero count, and dictionary audit.
fig7.summary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/alignment_controlled/summary.json	6e3e199b6d672c93c2822aa23f538d733acb121695bed12a3d69c19cbdd66111	drafts/dendritic-local-learning/journal/scripts/run_alignment_controlled_learning.py	reconstructed cell (n=8)	Source identity retained; previous display association figS5/a-h. Frozen design, endpoint contrasts, and scope boundaries.
fig5.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S10_panels_A-H.pdf	123bcf43dbf1b85ab53e1b5a618f7dde0077ec77c81ee4ddac3bc3bf7a0c91f2	drafts/dendritic-local-learning/journal/scripts/build_microns_v661_replication_figure.py	biological cell	Source identity retained; previous display association figS10/all. Main public-v661 sensitivity figure; 47 routing cells, 45 focal cells, and 40 relation-control cells.
fig5.a-b	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/microns_v661_replication/supp_figure_routing_curves.csv	270d5dca2dea107b4540fc71b7c415966d4608b31ab6371a053dd7df67ea9017	drafts/dendritic-local-learning/journal/scripts/build_microns_v661_replication_figure.py	biological cell (n=47 through 8 channels)	Source identity retained; previous display association figS10/b-e. Cell-level routing curves, wiring-capture trade-off, and eight-channel structural controls; one cell has fewer than 16 eligible excitatory-bearing segments.
fig5.c-d	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/microns_v661_replication/supp_figure_focal_cells.csv	82f7bd2ad26940ec13ec3adb9bf8bbf4d2eb2f107c701133ff6e38265fb96e9c	drafts/dendritic-local-learning/journal/scripts/build_microns_v661_replication_figure.py	biological cell (n=45 shunt-additive; n=40 relation control)	Source identity retained; previous display association figS10/f-g. Cell-averaged focal localization for Fig. S10f-g; 235 and 230 focal sites are nested within cells.
fig5.summary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/microns_v661_replication/replication_summary.json	22b5b5abc9b0c476b7fe985994f11406c2f7332d81898cd12346be28651b3ce7	drafts/dendritic-local-learning/journal/scripts/build_microns_v661_replication_figure.py	biological cell	Source identity retained; previous display association figS10/a-h. Frozen estimands, paired contrasts, numerical validation, public-source provenance, and limitations.
fig5.cohort	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/microns_v661_replication/cohort_manifest.csv	9286e5d5f8278c6219d609201e3d620ed3c9590e498fb7126414410380d820a5	drafts/dendritic-local-learning/journal/scripts/build_microns_v661_replication_figure.py	candidate reconstructed cell (n=55)	Source identity retained; previous display association figS10/a-h. All frozen candidates, original-pilot exclusions, source URLs and hashes, cell types, and endpoint eligibility.
fig2.init.runs	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/initialization_factorial_runs.csv	6218e6f571c9f3cb096b8439c1686135791f13a21e4e5bd02bbddcfb27756f67	drafts/dendritic-local-learning/neurips/scripts/summarize_init_policy_factorial.py	paired independent training seed (n=15 per architecture and policy)	Source identity retained; previous display association methods/initialization control. Complete 2-by-2 architecture-by-initialization-policy factorial underlying the main-text operating-point control.
fig2.init.summary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/initialization_factorial_summary.csv	a6bd6beb378a4845f529522fa1dfd0597ab5906408a27b01bd49db4a272902e9	drafts/dendritic-local-learning/neurips/scripts/summarize_init_policy_factorial.py	paired independent training seed (n=15 per architecture and policy)	Source identity retained; previous display association methods/initialization control. Derived condition means, sample standard deviations, standard errors, and counts.
fig2.init.tests	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/initialization_factorial_paired_tests.csv	03d9a2845b94d1095abdc24f29ef7cc0f10b3c1dadf1e402689a13cfe7015f2d	drafts/dendritic-local-learning/neurips/scripts/summarize_init_policy_factorial.py	paired independent training seed (n=15)	Source identity retained; previous display association methods/initialization control. Derived paired architecture, policy, and interaction comparisons.
fig4.typed.effects	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/direct_typed_category_effects.csv	cd5af039d3a1db2ab86e0776d9c167b3385e342e0173d80e4e0a263ac8158162	drafts/dendritic-local-learning/journal/code/reconstructed_tree/run_focal_shunting_credit_perturbation.py	reconstructed cell; 55 focal sites nested within 8 cells from one animal	Source identity retained; previous display association figS21/g. Direct-type-only descendant, sister, ancestor, and unrelated effects.
fig4.typed.cells	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/direct_typed_cell_primary_contrasts.csv	4ec8591159cf342336addc005ab9f234772532bb93df6b6b9ece285ba3af925b	drafts/dendritic-local-learning/journal/code/reconstructed_tree/run_focal_shunting_credit_perturbation.py	reconstructed cell (n=8; one animal)	Source identity retained; previous display association figS21/g. Cell-level direct-type-only shunt, additive, and reassigned-relation localization values.
fig4.typed.sites	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/direct_typed_focal_localization.csv	d621ec84ce5ab16fe81d042f2b15656dc0167dc95c0ec05cd8b7f400dd24a7fc	drafts/dendritic-local-learning/journal/code/reconstructed_tree/run_focal_shunting_credit_perturbation.py	reconstructed cell; 55 focal sites nested within 8 cells from one animal	Source identity retained; previous display association figS21/g. Per-site direct-type-only perturbation dose response.
fig4.typed.summary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure4/direct_typed_summary.json	a756fb30f638fa8f72f30a0889c415f6f9d6674426dc58a31f2d7bff93e433b3	drafts/dendritic-local-learning/journal/code/reconstructed_tree/run_focal_shunting_credit_perturbation.py	reconstructed cell (n=8; one animal)	Source identity retained; previous display association figS21/g. Frozen estimand, interval, sign count, numerical checks, and parameters for the direct-type-only control.
fig2.feedback_relevance.runs	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/feedback_learning_relevance_runs.csv	66d70356b1677fe78d8e55e4721c354f85ce334faff88940dccfeda81b5da6b0	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	independent trained checkpoint (n=5 per architecture)	Source identity retained; previous display association methods/feedback diagnostic. Fixed-checkpoint error-field, eligibility-weighted gradient, and norm-matched one-step diagnostics over three frozen data splits.
fig2.feedback_relevance.summary	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/feedback_learning_relevance_summary.csv	03ce98320856fa7191a7459516f6d9b7f421bb5c6fc9b5af691e0c0c7adec795	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	independent trained checkpoint (n=5 per architecture)	Source identity retained; previous display association methods/feedback diagnostic. Convenience summary of the feedback-to-step diagnostic; the figure is generated from run-level values.
regimes.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S04_panels_A-E.pdf	099440ac84a38ad019a34b27da87be9ae759cedfdf275440df3366ab8baecce9	drafts/dendritic-local-learning/journal/scripts/build_supplementary_figure_s04_native.py	independent training seed	Source identity retained; previous display association figS4/all. Five-panel regular-tree boundary sheet: retained depth, noise and CIFAR-10 tests, the raw-additive CIFAR-10 confirmation and the Fashion-MNIST replication.
regimes.tasks	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/regular_tree_regimes/competence_summary.csv	910f02452fa106238696940882e27987f2951d75fca5190ebacaffe02ed268a0	drafts/dendritic-local-learning/journal/scripts/build_regular_tree_regime_figure.py	independent training seed (n=5 per condition)	Source identity retained; previous display association figS4/archived. MNIST, Fashion-MNIST, and context-gating competence controls. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.
regimes.inhibition	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/regular_tree_regimes/inhibition_dose_summary.csv	5901c5187d1c027f2a1e3f266d6e5d87e2c60f77c7e772f8543122e84bef95fe	drafts/dendritic-local-learning/journal/scripts/build_regular_tree_regime_figure.py	independent training seed (n=5 per condition)	Source identity retained; previous display association figS4/archived. Task-dependent inhibitory-synapse-count sweep. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.
regimes.depth	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/regular_tree_regimes/depth_scaling_summary.csv	8abd538efd42ba314ca87f3c1df4bcc5c6cb0cf8356ed6f96095fb5915410113	drafts/dendritic-local-learning/journal/scripts/build_regular_tree_regime_figure.py	independent training seed (n=5 per condition)	Source identity retained; previous display association figS4/a. Nominal dendritic-depth stress under local learning and matched backpropagation.
regimes.noise	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/regular_tree_regimes/broadcast_noise_summary.csv	c158876c0641478c89aa4bbad91ff10e847ae20701438ead995cf41d7d403add	drafts/dendritic-local-learning/journal/scripts/build_regular_tree_regime_figure.py	independent training seed (n=5 per condition)	Source identity retained; previous display association figS4/b. Gaussian teaching-signal-noise stress.
regimes.rules	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/regular_tree_regimes/rule_family_summary_source.csv	e963b222fff43e7921f1be8d75196cf5f306576fc2afcb5667e0a7520eccbbdf	drafts/dendritic-local-learning/journal/scripts/build_regular_tree_regime_figure.py	independent training seed (n=3 per condition)	Source identity retained; previous display association figS4/archived. Within-shunting three-, four-, and five-factor descriptive comparison. Panel omitted from the reduced boundary sheet; endpoint retained in Table tab:regular_regimes and the archived nine-panel asset.
